symbol,variant,threshold,cagr,sharpe,max_dd,n_trades,n_suppressed,n_blocked,max_supp_dd
SPY,bh,,0.14212660456357695,0.8615451100207716,-0.3371725495146518,,0,0,
SPY,baseline,,0.06904113214187846,0.8024202115000276,-0.14899970543545638,155.0,0,0,
SPY,exit_filter,-3.0,0.1561014895810322,1.0766259942660268,-0.23009977303010387,19.0,142,0,-0.11202849458406539
SPY,entry_gate,-3.0,0.07616454125561956,0.8882150554637812,-0.14098522831058813,149.0,0,3,0.0
SPY,combined,-3.0,0.1660551578441476,1.1504203130173218,-0.23009977303010376,15.0,139,3,-0.09554559837371923
SPY,exit_filter,-2.5,0.163123829425039,1.139587687313468,-0.23009977303010365,23.0,134,0,-0.09554559837371923
SPY,entry_gate,-2.5,0.07616454125561956,0.8882150554637812,-0.14098522831058813,149.0,0,3,0.0
SPY,combined,-2.5,0.17087414570177195,1.1919464761073566,-0.23009977303010376,17.0,134,3,-0.09554559837371923
SPY,exit_filter,-2.0,0.16038507216377362,1.1323631925583104,-0.25329774706708563,27.0,132,0,-0.11807868043714331
SPY,entry_gate,-2.0,0.07706069357676415,0.8990677026131476,-0.14098522831058813,147.0,0,4,0.0
SPY,combined,-2.0,0.16908986292865058,1.1918813752607007,-0.25329774706708585,19.0,132,4,-0.11807868043714331
SPY,exit_filter,-1.5,0.16355767812905886,1.1677819308723576,-0.22954739886842745,29.0,128,0,-0.11807868043714331
SPY,entry_gate,-1.5,0.07706069357676415,0.8990677026131476,-0.14098522831058813,147.0,0,4,0.0
SPY,combined,-1.5,0.17228626864090768,1.2285723125923609,-0.22954739886842723,21.0,128,4,-0.11807868043714331
SPY,exit_filter,-1.0,0.16336990013257746,1.1723036324522447,-0.22954739886842723,31.0,126,0,-0.11807868043714331
SPY,entry_gate,-1.0,0.07867454398171736,0.9176650197153562,-0.14098522831058813,145.0,0,5,0.0
SPY,combined,-1.0,0.1738533334010386,1.2452481475108763,-0.22954739886842734,21.0,126,5,-0.11807868043714331
SPY,exit_filter,-0.5,0.1692805836535589,1.2357749115772803,-0.19348882379379484,33.0,122,0,-0.09554559837371923
SPY,entry_gate,-0.5,0.08018574617035257,0.9679411761807745,-0.14098522831058813,141.0,0,7,0.0
SPY,combined,-0.5,0.18147018085801792,1.3414290087530014,-0.19348882379379506,19.0,122,7,-0.09554559837371923
SPY,exit_filter,0.0,0.17582834853062668,1.3373324843193533,-0.19348882379379462,37.0,114,0,-0.09554559837371923
SPY,entry_gate,0.0,0.07565797814069897,0.9756111740795393,-0.14098522831058935,133.0,0,11,0.0
SPY,combined,0.0,0.16895271917106336,1.3854153368969133,-0.19348882379379473,21.0,107,11,-0.08529454492298771
SPY,exit_filter,0.5,0.17106957038955883,1.341711219188979,-0.1688863837016671,43.0,105,0,-0.15607446791172797
SPY,entry_gate,0.5,0.07615106336331467,0.9867952148146544,-0.14098522831058935,131.0,0,12,0.0
SPY,combined,0.5,0.16475545103695444,1.4032278302641508,-0.16888638370166742,25.0,98,12,-0.15607446791172797
SPY,exit_filter,1.0,0.16130814415437755,1.3020249255691023,-0.16888638370166775,55.0,92,0,-0.15607446791172797
SPY,entry_gate,1.0,0.07732661347158176,1.0240496020307992,-0.1409852283105888,123.0,0,17,0.0
SPY,combined,1.0,0.1596556241357967,1.4001736093519352,-0.1688863837016673,29.0,88,16,-0.15607446791172797
SPY,exit_filter,1.5,0.13665084770292424,1.1736591762283746,-0.16888638370166686,77.0,71,0,-0.15607446791172797
SPY,entry_gate,1.5,0.08196841022769696,1.098490401731983,-0.14098522831058846,109.0,0,25,0.0
SPY,combined,1.5,0.13876452286815488,1.3157708145961595,-0.1688863837016673,37.0,66,24,-0.15607446791172797
SPY,exit_filter,2.0,0.12621393639954936,1.1703611383844583,-0.17419110890700895,99.0,53,0,-0.15607446791172797
SPY,entry_gate,2.0,0.07487298785270591,1.109900461355681,-0.13414066033425298,91.0,0,35,0.0
SPY,combined,2.0,0.11763913883065014,1.3257131679982905,-0.17319721066443472,45.0,43,35,-0.15607446791172797
SPY,exit_filter,2.5,0.11495086877375815,1.1072248253395878,-0.19120445961067367,109.0,40,0,-0.15607446791172797
SPY,entry_gate,2.5,0.06950577528849422,1.0959659647687365,-0.13414066033425187,77.0,0,42,0.0
SPY,combined,2.5,0.10584437901106614,1.2960289441379338,-0.1688863837016672,35.0,34,42,-0.15607446791172797
SPY,exit_filter,3.0,0.10602966358318278,1.046628254784494,-0.1912044596106739,115.0,34,0,-0.15607446791172797
SPY,entry_gate,3.0,0.0547463390186993,0.9367757158404356,-0.13414066033425187,69.0,0,46,0.0
SPY,combined,3.0,0.08522553618912965,1.1306702607534351,-0.16888638370166753,31.0,30,46,-0.15607446791172797
SPY,exit_filter,3.5,0.08983140137050238,0.9584782431123873,-0.13336936449616676,139.0,17,0,-0.06989457885005068
SPY,entry_gate,3.5,0.056408791800208524,1.0557903099704773,-0.06989457885005068,49.0,0,56,0.0
SPY,combined,3.5,0.07513973084828485,1.1903470497803335,-0.08310499034225649,35.0,15,56,-0.06989457885005068
SPY,exit_filter,4.0,0.08340227570486514,0.9185137269894302,-0.1489997054354566,147.0,7,0,-0.06989457885005068
SPY,entry_gate,4.0,0.049498642793859515,1.0054832299569418,-0.06989457885005057,37.0,0,62,0.0
SPY,combined,4.0,0.06806336380613653,1.1953618310210534,-0.06989457885005068,33.0,6,61,-0.06989457885005068
SPY,exit_filter,4.5,0.07394724064572689,0.8454485135086732,-0.1489997054354576,153.0,2,0,-0.03715759857437062
SPY,entry_gate,4.5,0.029202202621719353,0.6937193250306638,-0.06989457885005068,25.0,0,68,0.0
SPY,combined,4.5,0.03926132851931574,0.8548837489971526,-0.06989457885005057,25.0,2,67,-0.03715759857437062
SPY,exit_filter,5.0,0.07394724064572689,0.8454485135086732,-0.1489997054354576,153.0,2,0,-0.03715759857437062
SPY,entry_gate,5.0,0.027964150733085225,0.6780107699265971,-0.06989457885005057,23.0,0,69,0.0
SPY,combined,5.0,0.038011176268105906,0.8421358570222497,-0.06989457885005057,23.0,2,68,-0.03715759857437062
QQQ,bh,,0.19261953913912833,0.9588153452560159,-0.3511872202753803,,0,0,
QQQ,baseline,,0.1289811671900689,1.050123998633484,-0.17515260366336638,129.0,0,0,
QQQ,exit_filter,-3.0,0.20075203785357476,1.0436052365080202,-0.3123916716989056,9.0,153,0,-0.12012872029643451
QQQ,entry_gate,-3.0,0.13108624552957093,1.0762429220946306,-0.17515260366336638,127.0,0,1,0.0
QQQ,combined,-3.0,0.20158832671260507,1.0537500388734844,-0.28559372732133026,9.0,150,1,-0.12012872029643451
QQQ,exit_filter,-2.5,0.20632358293673625,1.080427719019519,-0.28559372732133026,13.0,145,0,-0.12012872029643451
QQQ,entry_gate,-2.5,0.13108624552957093,1.0762429220946306,-0.17515260366336638,127.0,0,1,0.0
QQQ,combined,-2.5,0.2085728725782907,1.0945160175901492,-0.28559372732133026,11.0,145,1,-0.12012872029643451
QQQ,exit_filter,-2.0,0.21271821046107475,1.1252617288360014,-0.28559372732133026,15.0,137,0,-0.12012872029643451
QQQ,entry_gate,-2.0,0.13108624552957093,1.0762429220946306,-0.17515260366336638,127.0,0,1,0.0
QQQ,combined,-2.0,0.21497942341214205,1.1399352583296816,-0.28559372732133026,13.0,137,1,-0.12012872029643451
QQQ,exit_filter,-1.5,0.21271821046107475,1.1252617288360014,-0.28559372732133026,15.0,137,0,-0.12012872029643451
QQQ,entry_gate,-1.5,0.13108624552957093,1.0762429220946306,-0.17515260366336638,127.0,0,1,0.0
QQQ,combined,-1.5,0.21497942341214205,1.1399352583296816,-0.28559372732133026,13.0,137,1,-0.12012872029643451
QQQ,exit_filter,-1.0,0.2251866225435537,1.2299308679925876,-0.28559372732133037,19.0,124,0,-0.11964367111609375
QQQ,entry_gate,-1.0,0.13108624552957093,1.0762429220946306,-0.17515260366336638,127.0,0,1,0.0
QQQ,combined,-1.0,0.22747108387551984,1.2462147419283278,-0.28559372732133037,17.0,124,1,-0.11964367111609375
QQQ,exit_filter,-0.5,0.2219205577540544,1.2248221598570124,-0.28559372732133037,25.0,118,0,-0.11964367111609375
QQQ,entry_gate,-0.5,0.12990890417989953,1.086795288051165,-0.17515260366336638,123.0,0,3,0.0
QQQ,combined,-0.5,0.22292466741771166,1.2454277297620866,-0.28559372732133037,19.0,118,3,-0.11964367111609375
QQQ,exit_filter,0.0,0.22160627413342016,1.3225777444239895,-0.2279665542659236,33.0,103,0,-0.1274934129087505
QQQ,entry_gate,0.0,0.13179948866816282,1.1021034486227599,-0.17515260366336638,121.0,0,4,0.0
QQQ,combined,0.0,0.2246558194227659,1.360367591653662,-0.2279665542659236,25.0,103,4,-0.1274934129087505
QQQ,exit_filter,0.5,0.21998944554590616,1.3170572046230766,-0.2279665542659236,35.0,101,0,-0.1274934129087505
QQQ,entry_gate,0.5,0.12756780810650303,1.0913732619442051,-0.1540783942524493,115.0,0,7,0.0
QQQ,combined,0.5,0.21668488676664732,1.33975733661763,-0.22796655426592327,23.0,99,7,-0.1274934129087505
QQQ,exit_filter,1.0,0.21272543205499606,1.2853437656747042,-0.2279665542659236,41.0,98,0,-0.1274934129087505
QQQ,entry_gate,1.0,0.13206896306933658,1.1449173085713993,-0.14671342640554352,107.0,0,11,0.0
QQQ,combined,1.0,0.2160946280968865,1.3611065765540755,-0.22796655426592305,23.0,93,11,-0.1274934129087505
QQQ,exit_filter,1.5,0.20511747486026333,1.257712024549829,-0.22796655426592338,45.0,93,0,-0.1274934129087505
QQQ,entry_gate,1.5,0.13128915340095637,1.1546804174208463,-0.1467134264055442,103.0,0,13,0.0
QQQ,combined,1.5,0.20939714517173957,1.3451110693512005,-0.2279665542659235,21.0,90,13,-0.1274934129087505
QQQ,exit_filter,2.0,0.20026586585644002,1.2373382668498434,-0.22796655426592316,51.0,89,0,-0.1274934129087505
QQQ,entry_gate,2.0,0.13388976677918807,1.178931118905371,-0.14671342640554486,99.0,0,15,0.0
QQQ,combined,2.0,0.20729728282848692,1.3422559065190172,-0.22796655426592394,23.0,86,15,-0.1274934129087505
QQQ,exit_filter,2.5,0.19153271910841219,1.2152389352317023,-0.22796655426592372,59.0,79,0,-0.11964367111609375
QQQ,entry_gate,2.5,0.1404122425044414,1.245404385903101,-0.14671342640554386,93.0,0,18,0.0
QQQ,combined,2.5,0.20373004280529816,1.3636077200241576,-0.22796655426592383,27.0,75,18,-0.11964367111609375
QQQ,exit_filter,3.0,0.18094296924641218,1.2256692132221692,-0.22796655426592316,75.0,56,0,-0.11964367111609375
QQQ,entry_gate,3.0,0.14500491421664385,1.2899465246693391,-0.14671342640554375,89.0,0,20,0.0
QQQ,combined,3.0,0.19603779252203424,1.4108228150057793,-0.22796655426592372,37.0,55,20,-0.11964367111609375
QQQ,exit_filter,3.5,0.1810030220019545,1.2933817356554782,-0.17515260366336594,85.0,41,0,-0.10819747444523031
QQQ,entry_gate,3.5,0.13583245151057688,1.2331900810108969,-0.1467134264055442,85.0,0,22,0.0
QQQ,combined,3.5,0.18638440452353655,1.456459262410901,-0.14560136047293615,43.0,40,22,-0.10819747444523031
QQQ,exit_filter,4.0,0.17249793723690243,1.2485676061775586,-0.17515260366336638,91.0,37,0,-0.10872016707635768
QQQ,entry_gate,4.0,0.1299784072394239,1.2161558177555967,-0.13567181294297115,74.0,0,28,0.0
QQQ,combined,4.0,0.17136617544274135,1.411249046776332,-0.11722592299930046,42.0,31,27,-0.07455595798134196
QQQ,exit_filter,4.5,0.16071589143929632,1.1937308385034153,-0.17515260366336638,97.0,32,0,-0.10872016707635768
QQQ,entry_gate,4.5,0.1266027926945017,1.2393531751994435,-0.12399139570473372,64.0,0,33,0.0
QQQ,combined,4.5,0.15146799816183543,1.3512055022324365,-0.1141863250473808,42.0,22,32,-0.07432935165504095
QQQ,exit_filter,5.0,0.14975457622126198,1.1582014390596505,-0.17515260366336638,109.0,19,0,-0.07432935165504095
QQQ,entry_gate,5.0,0.12577942979756562,1.2941893513706173,-0.09984393709851658,50.0,0,41,0.0
QQQ,combined,5.0,0.14135761523526513,1.3746177918972848,-0.11418632504738013,36.0,13,41,-0.07432935165504095
