lookback_months,year,symbol,entry_fast,entry_slow,exit_fast,exit_slow,trailing_stop,is_sharpe,oos_strat_ret,oos_trades,oos_oos_strat_ret,oos_cagr,oos_sharpe,oos_max_dd,oos_win_rate,oos_trail_exits,oos_ma_exits,oos_bh_return
60,2010,SPY,7,26,12,21,0.06,1.068417325897566,0.044470206857561534,4,0.044470206857561534,0.045005357294922055,0.642916829981697,-0.13953052730929583,0.75,2,2,0.1313735269038964
60,2010,QQQ,9,11,12,25,0.06,1.1230869804993482,0.07955686957302643,5,0.07955686957302643,0.08053022589457148,0.760238034469913,-0.19484897205511142,0.4,3,2,0.18409719535700955
60,2011,SPY,7,24,12,13,0.06,1.1017658123685152,-0.03263499059376007,6,-0.03263499059376007,-0.03301278512589001,-0.5127255938767011,-0.04633764049221367,0.16666666666666666,0,6,0.00852378384500883
60,2011,QQQ,10,13,10,11,0.05,1.2698699120400054,-0.04380484896913417,13,-0.04380484896913417,-0.04430896019716313,-0.4026822282355964,-0.09518694241879044,0.46153846153846156,1,12,0.018855547560075014
60,2012,SPY,7,26,11,17,0.06,1.0530764742987662,-0.046728872400173316,2,-0.046728872400173316,-0.04701159697673318,-0.6132868477787198,-0.06527239958047604,0.0,0,2,0.14170827619033866
60,2012,QQQ,6,13,12,13,0.06,1.2768243846948113,0.018825441830422784,6,0.018825441830422784,0.018943226771818145,0.21947606643166173,-0.039715258722985314,0.5,0,6,0.1589142123422044
60,2013,SPY,7,26,12,14,0.06,1.2644826783117133,0.046499647442488135,6,0.046499647442488135,0.04679450949998487,0.8390721434657687,-0.03691073337911133,0.8333333333333334,0,6,0.29001440765549635
60,2013,QQQ,5,12,12,13,0.06,1.5573026818033233,0.05610869938152985,13,0.05610869938152985,0.05646612029219522,0.7953992957540967,-0.04399329892269377,0.5384615384615384,0,13,0.32425326624091155
60,2014,SPY,9,10,11,17,0.06,1.6035193366895601,0.07058083447648555,7,0.07058083447648555,0.07103350273873144,0.5932177604372343,-0.06137233599512326,0.7142857142857143,1,6,0.14561754283015402
60,2014,QQQ,3,20,9,10,0.05,1.6964554313309834,0.04772994653828433,8,0.04772994653828433,0.048032787724603176,0.5125146668490926,-0.047490740698482914,0.375,0,8,0.20123707495275042
60,2015,SPY,9,10,11,17,0.06,1.5859482319601745,-0.08995058663695954,11,-0.08995058663695954,-0.0904821129479706,-0.8002202416215609,-0.13878365973446471,0.36363636363636365,1,10,0.012884830920508817
60,2015,QQQ,7,26,11,13,0.05,1.69509409701144,-0.029387332128932853,9,-0.029387332128932853,-0.029566765322270427,-0.33426120568805395,-0.12009847224039816,0.4444444444444444,1,8,0.0976545506096015
60,2016,SPY,7,8,12,18,0.06,1.050959152922621,0.11980609398189834,5,0.11980609398189834,0.12129885293212062,1.458533739603456,-0.06655065073981492,0.8,0,5,0.1358576034341856
60,2016,QQQ,12,25,4,8,0.04,1.2791252073944677,0.004683456795000263,5,0.004683456795000263,0.004738724880652079,0.08568140224093393,-0.03620775446858859,0.6,0,5,0.09406165648849293
60,2017,SPY,12,13,3,8,0.06,1.2272531660325223,0.07746302378981862,10,0.07746302378981862,0.07863599674677157,1.5597777407122697,-0.019035297286540298,0.8,0,10,0.20781402698937476
60,2017,QQQ,12,18,9,23,0.06,1.1272124844351672,0.15844975672237394,5,0.15844975672237394,0.1609372472625834,1.6404181041036667,-0.0368923339113264,0.8,0,5,0.31487180295602923
60,2018,SPY,12,13,4,9,0.06,1.4938847808296514,-0.04249968073521948,11,-0.04249968073521948,-0.04275739499079745,-0.7222892665871049,-0.0692825795869616,0.2727272727272727,0,11,-0.05247172883209224
60,2018,QQQ,12,18,12,20,0.06,1.509167530917838,-0.15197002976816243,8,-0.15197002976816243,-0.15283604596085876,-1.3734322149245488,-0.19222436399199805,0.5,3,5,-0.01846528954211892
60,2019,SPY,10,26,3,21,0.03,1.099685235465126,0.07298931838216349,3,0.07298931838216349,0.07345795683397238,2.2781410349389346,-0.04549794700271703,0.6666666666666666,1,2,0.3108746917913159
60,2019,QQQ,11,26,10,26,0.06,1.0835214024050306,0.036564354165009805,3,0.036564354165009805,0.03679511225449317,1.1810222675752453,-0.14105362857449277,0.3333333333333333,2,1,0.38405316922701427
60,2020,SPY,12,20,4,26,0.03,1.574742543554233,0.022563739196643784,4,0.022563739196643784,0.02264209524479255,0.5766654287382754,-0.08062327284568727,0.25,4,0,0.17235288736209234
60,2020,QQQ,4,12,10,11,0.03,1.426369924040837,-0.018278143170519012,7,-0.018278143170519012,-0.018340332377702717,-0.20801527309134157,-0.0806677010354181,0.2857142857142857,3,4,0.4596881111607568
60,2021,SPY,11,12,3,23,0.03,1.9222020170422094,0.09718689952694692,8,0.09718689952694692,0.09838560154610532,0.8474044116615994,-0.061445288208341164,0.625,4,4,0.30505466635116707
60,2021,QQQ,11,13,12,26,0.05,1.7799717949928637,0.09498933365382567,4,0.09498933365382567,0.09615976115605074,1.0714272485495486,-0.09126441957320297,0.75,2,2,0.2924465763241905
60,2022,SPY,11,12,4,19,0.04,1.7255738674620753,-0.02064750904560053,9,-0.02064750904560053,-0.02088803264637762,-0.13697050733706667,-0.13184958843815964,0.6666666666666666,6,3,-0.18646407230964557
60,2022,QQQ,11,13,4,18,0.05,1.7185257081957792,-0.08939449816401379,9,-0.08939449816401379,-0.0903978646688518,-0.44917747043273265,-0.18688798927959127,0.3333333333333333,7,2,-0.33219889549311576
60,2023,SPY,8,10,8,17,0.03,1.3979733248995554,0.08483648014839695,7,0.08483648014839695,0.08612549966893934,1.5929290862088652,-0.08394537144889413,0.42857142857142855,3,4,0.26709219554611585
60,2023,QQQ,6,25,3,25,0.05,1.3599766806593692,0.1443628949042679,5,0.1443628949042679,0.14661553788224002,1.6240514469839311,-0.11551130642059504,0.6,2,3,0.5590953945240507
60,2024,SPY,12,15,7,11,0.05,1.5390928448033283,0.07083667204647592,7,0.07083667204647592,0.07108837868843798,1.0771488685532302,-0.03954640396861453,0.5714285714285714,0,7,0.2558930569325586
60,2024,QQQ,10,11,7,12,0.06,1.7026367313207473,0.14533687897822056,13,0.14533687897822056,0.14587072881153018,1.0373442666773296,-0.10839885021775997,0.46153846153846156,0,13,0.27739912351043966
60,2025,SPY,8,10,8,17,0.03,1.453265975640943,0.25832865515995684,7,0.25832865515995684,0.2601221485978249,2.0737014186030613,-0.09166153099377039,0.5714285714285714,2,5,0.18009014616634136
60,2025,QQQ,10,16,8,13,0.05,1.6210953874844425,-0.025964982821783056,8,-0.025964982821783056,-0.026123802124450313,-0.1845327030732798,-0.11064313077884025,0.375,2,6,0.2100925351496274
60,2026,SPY,8,11,11,12,0.05,1.6468654443569315,-0.018283162005805265,5,-0.018283162005805265,-0.05014723561426204,-1.3037862080503293,-0.02183828610473837,0.2,0,5,0.08953447287954783
60,2026,QQQ,8,10,10,14,0.04,1.524094944347363,-0.06267353833599643,3,-0.06267353833599643,-0.16511425363604415,2.212246206083135,-0.06446174744714506,0.0,1,2,0.16716334214052678
72,2010,SPY,7,26,12,21,0.06,0.9100471597544457,0.044470206857561534,4,0.044470206857561534,0.045005357294922055,0.642916829981697,-0.13953052730929583,0.75,2,2,0.1313735269038964
72,2010,QQQ,11,12,12,13,0.06,1.175704522775748,0.09537000139207841,11,0.09537000139207841,0.09654532291236428,0.9211555907152464,-0.08714663707601433,0.5454545454545454,2,9,0.18409719535700955
72,2011,SPY,7,24,12,13,0.06,1.0777901898399387,-0.03263499059376007,6,-0.03263499059376007,-0.03301278512589001,-0.5127255938767011,-0.04633764049221367,0.16666666666666666,0,6,0.00852378384500883
72,2011,QQQ,10,13,10,11,0.05,1.05094211762335,-0.04380484896913417,13,-0.04380484896913417,-0.04430896019716313,-0.4026822282355964,-0.09518694241879044,0.46153846153846156,1,12,0.018855547560075014
72,2012,SPY,7,26,11,17,0.06,1.0011974202628757,-0.046728872400173316,2,-0.046728872400173316,-0.04701159697673318,-0.6132868477787198,-0.06527239958047604,0.0,0,2,0.14170827619033866
72,2012,QQQ,10,13,10,11,0.05,1.0447663368631006,0.04564024397272548,10,0.04564024397272548,0.045929537704565426,0.5299614634546728,-0.052857674897105134,0.6,0,10,0.1589142123422044
72,2013,SPY,7,26,12,14,0.06,1.0591649618511798,0.046499647442488135,6,0.046499647442488135,0.04679450949998487,0.8390721434657687,-0.03691073337911133,0.8333333333333334,0,6,0.29001440765549635
72,2013,QQQ,6,13,12,13,0.06,1.3646223055196094,0.07869329798641456,13,0.07869329798641456,0.07919989282500728,1.1673715223390244,-0.03814622861095396,0.6153846153846154,0,13,0.32425326624091155
72,2014,SPY,3,25,11,14,0.06,1.2722639659432182,0.03795251975909597,5,0.03795251975909597,0.0381921989230658,0.4113066302352829,-0.05035442687803837,0.8,0,5,0.14561754283015402
72,2014,QQQ,6,13,12,13,0.06,1.4826832454841954,0.02530126433619695,8,0.02530126433619695,0.025460070076659402,0.33200106919478606,-0.061658039685399624,0.375,0,8,0.20123707495275042
72,2015,SPY,9,10,11,17,0.06,1.4687763278795611,-0.08995058663695954,11,-0.08995058663695954,-0.0904821129479706,-0.8002202416215609,-0.13878365973446471,0.36363636363636365,1,10,0.012884830920508817
72,2015,QQQ,3,16,12,18,0.06,1.5486916232610821,-0.03430364765018368,10,-0.03430364765018368,-0.03451256161094296,-0.46843373511516717,-0.10219088088961292,0.3,1,9,0.0976545506096015
72,2016,SPY,3,11,11,16,0.06,1.2527428155899563,0.11534244988064835,6,0.11534244988064835,0.11677674493404622,1.43424921171404,-0.06356465276956835,0.6666666666666666,0,6,0.1358576034341856
72,2016,QQQ,5,12,11,15,0.06,1.3604101712650747,0.10235183894362798,7,0.10235183894362798,0.10361720102313532,0.912184956347533,-0.06107951288610136,0.7142857142857143,1,6,0.09406165648849293
72,2017,SPY,7,8,12,18,0.06,1.0408439529478295,0.08261036403832733,4,0.08261036403832733,0.08386426954294635,2.756996737874304,-0.027066928475409258,1.0,0,4,0.20781402698937476
72,2017,QQQ,12,25,4,8,0.04,1.126548436449381,-0.014087681004945951,4,-0.014087681004945951,-0.014291651282768658,-0.7442279645931454,-0.021679786948006763,0.5,0,4,0.31487180295602923
72,2018,SPY,10,11,7,26,0.06,1.2684581303724043,-0.09361428189151011,7,-0.09361428189151011,-0.09416631793589592,-0.8750267280267178,-0.1439330435869588,0.2857142857142857,4,3,-0.05247172883209224
72,2018,QQQ,12,18,9,23,0.06,1.3696341249535795,-0.1348825287175388,8,-0.1348825287175388,-0.1356591232286567,-1.0724719709967632,-0.18016116677108762,0.375,3,5,-0.01846528954211892
72,2019,SPY,12,13,4,9,0.06,1.1881307526496137,0.18788733048103246,9,0.18788733048103246,0.18915573117203088,2.0879534374429314,-0.059940680227386856,0.7777777777777778,0,9,0.3108746917913159
72,2019,QQQ,11,26,10,26,0.06,1.1579331041074195,0.036564354165009805,3,0.036564354165009805,0.03679511225449317,1.1810222675752453,-0.14105362857449277,0.3333333333333333,2,1,0.38405316922701427
72,2020,SPY,10,23,3,21,0.03,1.3658499359672405,0.026752883457084042,4,0.026752883457084042,0.026845976937458937,0.7197657841111677,-0.06230971899673732,0.25,4,0,0.17235288736209234
72,2020,QQQ,4,12,10,11,0.03,1.2922426043082336,-0.018278143170519012,7,-0.018278143170519012,-0.018340332377702717,-0.20801527309134157,-0.0806677010354181,0.2857142857142857,3,4,0.4596881111607568
72,2021,SPY,12,13,3,20,0.03,1.4076963691564164,0.06565071485527296,9,0.06565071485527296,0.0664487426734317,0.5405137562949625,-0.060809298762831476,0.6666666666666666,4,5,0.30505466635116707
72,2021,QQQ,11,16,6,21,0.05,1.4110232270302498,0.16513956709303557,4,0.16513956709303557,0.16723797539471752,1.7211605069489386,-0.05287394834072523,0.75,0,4,0.2924465763241905
72,2022,SPY,11,12,3,24,0.04,1.8046554064740765,-0.03083925660495812,9,-0.03083925660495812,-0.03119659995320323,-0.1892986653700565,-0.11709997753079315,0.4444444444444444,6,3,-0.18646407230964557
72,2022,QQQ,11,13,3,25,0.05,1.7466297429012994,-0.046343918995573996,8,-0.046343918995573996,-0.04687652778280682,-0.1826024928274736,-0.17264226564522245,0.375,6,2,-0.33219889549311576
72,2023,SPY,8,10,9,17,0.03,1.463163049404182,0.0759741327025949,7,0.0759741327025949,0.07712376339974525,1.5125239717143697,-0.08394537144889436,0.42857142857142855,3,4,0.26709219554611585
72,2023,QQQ,6,26,3,25,0.05,1.2942970110681329,0.12680724548013345,5,0.12680724548013345,0.128770813346341,1.5301087103218678,-0.11657439576437223,0.6,2,3,0.5590953945240507
72,2024,SPY,8,10,8,17,0.03,1.4437191265473122,0.15271849151144812,5,0.15271849151144812,0.15328122455717152,1.4460553289415672,-0.07888133147852039,0.6,3,2,0.2558930569325586
72,2024,QQQ,10,11,7,12,0.06,1.456951907038577,0.14533687897822056,13,0.14533687897822056,0.14587072881153018,1.0373442666773296,-0.10839885021775997,0.46153846153846156,0,13,0.27739912351043966
72,2025,SPY,4,18,5,14,0.05,1.5045607127811442,0.14506868472653944,6,0.14506868472653944,0.1460305531367183,1.3754741281271126,-0.03869858303257612,0.8333333333333334,0,6,0.18009014616634136
72,2025,QQQ,10,11,7,11,0.06,1.580036585542584,0.03615755573224777,12,0.03615755573224777,0.036385701719798824,0.24624893172140544,-0.15281133678437686,0.5,2,10,0.2100925351496274
72,2026,SPY,8,10,7,17,0.03,1.5575195979671592,-0.009675266649930014,4,-0.009675266649930014,-0.026743503523992795,2.456234096377404,-0.033478389692157884,0.25,0,4,0.08953447287954783
72,2026,QQQ,7,24,8,13,0.05,1.5295092446150267,-0.03977175796307986,2,-0.03977175796307986,-0.10698844822478604,3.1426306318729655,-0.05203813090721343,0.5,1,1,0.16716334214052678
84,2010,SPY,8,16,12,26,0.06,0.9389243723868069,-0.003936852801885493,4,-0.003936852801885493,-0.003983108365318788,0.23661701938265198,-0.16460283223796224,0.5,2,2,0.1313735269038964
84,2010,QQQ,11,12,12,13,0.06,1.1141158790380281,0.09537000139207841,11,0.09537000139207841,0.09654532291236428,0.9211555907152464,-0.08714663707601433,0.5454545454545454,2,9,0.18409719535700955
84,2011,SPY,7,24,12,13,0.06,1.002166591848331,-0.03263499059376007,6,-0.03263499059376007,-0.03301278512589001,-0.5127255938767011,-0.04633764049221367,0.16666666666666666,0,6,0.00852378384500883
84,2011,QQQ,11,12,12,13,0.06,1.1412245287446823,-0.15092495382188664,16,-0.15092495382188664,-0.15255880827530932,-1.1448165767670513,-0.17415373204761486,0.3125,2,14,0.018855547560075014
84,2012,SPY,8,26,11,17,0.06,0.9874982021440369,-0.04125911113215852,2,-0.04125911113215852,-0.041509466870874534,-0.5360802484568491,-0.06013622723781731,0.0,0,2,0.14170827619033866
84,2012,QQQ,7,26,12,18,0.06,0.920377111457125,-0.023203221158172305,3,-0.023203221158172305,-0.02334535081597444,-0.35606119967896255,-0.05222666997095837,0.3333333333333333,0,3,0.1589142123422044
84,2013,SPY,3,25,11,14,0.06,0.9699916071002276,0.10265400173900696,6,0.10265400173900696,0.10332208432939427,1.5839773073047416,-0.04383225255805934,1.0,0,6,0.29001440765549635
84,2013,QQQ,6,16,12,14,0.06,1.174945866701461,0.05783606489837312,11,0.05783606489837312,0.05820478964775777,0.7750767734283822,-0.049815490421859954,0.6363636363636364,0,11,0.32425326624091155
84,2014,SPY,7,26,11,16,0.06,1.076001530964725,0.07007996010427564,5,0.07007996010427564,0.07052931140960683,0.7594786408057728,-0.05651989599923668,0.8,0,5,0.14561754283015402
84,2014,QQQ,6,13,12,13,0.06,1.3249950447728889,0.02530126433619695,8,0.02530126433619695,0.025460070076659402,0.33200106919478606,-0.061658039685399624,0.375,0,8,0.20123707495275042
84,2015,SPY,3,25,11,14,0.06,1.180970947954193,-0.13221316055011734,11,-0.13221316055011734,-0.13297559483378585,-1.5101104161078562,-0.18158902798797671,0.2727272727272727,1,10,0.012884830920508817
84,2015,QQQ,5,12,12,13,0.06,1.3902784470013596,0.048311985746881225,12,0.048311985746881225,0.048618604900991125,0.22894229690259038,-0.09090718820629384,0.5833333333333334,0,12,0.0976545506096015
84,2016,SPY,3,11,11,16,0.06,1.209572131755031,0.11534244988064835,6,0.11534244988064835,0.11677674493404622,1.43424921171404,-0.06356465276956835,0.6666666666666666,0,6,0.1358576034341856
84,2016,QQQ,6,12,9,23,0.06,1.3595765234728088,0.02571571676157891,6,0.02571571676157891,0.026022369687136226,0.4592974100761119,-0.07613719829586407,0.6666666666666666,1,5,0.09406165648849293
84,2017,SPY,3,11,11,16,0.06,1.2058657455616322,0.0944013467188225,6,0.0944013467188225,0.09584200757121608,1.7341761122926804,-0.04283003590209433,0.5,0,6,0.20781402698937476
84,2017,QQQ,7,26,11,13,0.05,1.2608213992191712,0.10698654363210425,4,0.10698654363210425,0.1086286153162237,1.376148005551066,-0.037060377309714565,0.75,0,4,0.31487180295602923
84,2018,SPY,7,8,12,18,0.06,1.1852356215995894,-0.12114433202499275,7,-0.12114433202499275,-0.12184750514111142,-1.0858573900354664,-0.14148746003428536,0.2857142857142857,3,4,-0.05247172883209224
84,2018,QQQ,4,12,9,23,0.05,1.2407180336952701,-0.07687077996088765,9,-0.07687077996088765,-0.07732833675799988,-0.5408924818847033,-0.1501346694626865,0.3333333333333333,5,4,-0.01846528954211892
84,2019,SPY,12,13,3,13,0.06,1.0037630681597092,0.20886048886705844,8,0.20886048886705844,0.21028257123855898,2.0956175902445917,-0.04170990269022312,0.75,0,8,0.3108746917913159
84,2019,QQQ,4,12,8,24,0.05,1.0922198479946366,-0.022565635981642074,3,-0.022565635981642074,-0.022703905715313444,0.7941622749233548,-0.11500943070143321,0.3333333333333333,2,1,0.38405316922701427
84,2020,SPY,10,11,3,21,0.03,1.3693152659718237,0.1870496389810432,7,0.1870496389810432,0.18774883008484822,1.3352294644138554,-0.1048417653977266,0.5714285714285714,7,0,0.17235288736209234
84,2020,QQQ,3,9,6,8,0.06,1.280176001081254,0.18304311331523904,12,0.18304311331523904,0.18372620107312265,1.0226157913739027,-0.11086510813631378,0.6666666666666666,1,11,0.4596881111607568
84,2021,SPY,12,13,3,22,0.03,1.3634616975752931,0.04408224240559844,9,0.04408224240559844,0.044612625133456874,0.34868251641056575,-0.061860376376420834,0.5555555555555556,4,5,0.30505466635116707
84,2021,QQQ,8,12,12,26,0.05,1.3995462884610028,0.13643558197101613,4,0.13643558197101613,0.13814801197790594,1.29590971309682,-0.07150619813362535,0.75,2,2,0.2924465763241905
84,2022,SPY,11,12,4,19,0.04,1.3540690619442506,-0.02064750904560053,9,-0.02064750904560053,-0.02088803264637762,-0.13697050733706667,-0.13184958843815964,0.6666666666666666,6,3,-0.18646407230964557
84,2022,QQQ,11,13,12,26,0.06,1.4258906937024411,-0.11298316036670564,7,-0.11298316036670564,-0.11423426849677931,-0.5286726832928595,-0.20132112807290425,0.2857142857142857,7,0,-0.33219889549311576
84,2023,SPY,8,10,4,20,0.03,1.516437423495869,0.016332078160946617,7,0.016332078160946617,0.016572217119247723,1.0339178486070344,-0.09428040965249451,0.42857142857142855,4,3,0.26709219554611585
84,2023,QQQ,11,13,10,24,0.05,1.3613418246798237,0.19080916727794728,5,0.19080916727794728,0.19384570402152201,1.7759129871449044,-0.1536263127654861,0.6,3,2,0.5590953945240507
84,2024,SPY,8,10,9,17,0.03,1.4862910871775252,0.18472399970339515,5,0.18472399970339515,0.18541383772595665,1.8171477588897313,-0.07862952831091696,0.8,2,3,0.2558930569325586
84,2024,QQQ,11,13,4,26,0.05,1.383007029254572,0.07750836308929099,4,0.07750836308929099,0.07778462585095824,0.5420516952456131,-0.13763351328161055,0.75,2,2,0.27739912351043966
84,2025,SPY,8,10,9,17,0.03,1.464736752980338,0.26869885116944037,7,0.26869885116944037,0.27057176107946046,2.1368916179983977,-0.09166153099377039,0.5714285714285714,2,5,0.18009014616634136
84,2025,QQQ,10,11,7,12,0.06,1.3712856044845791,0.024751644423892882,11,0.024751644423892882,0.024906958691842673,0.15704724974063677,-0.15281133678437708,0.45454545454545453,2,9,0.2100925351496274
84,2026,SPY,8,10,8,17,0.03,1.5630447080312218,0.001199234967024676,4,0.001199234967024676,0.003347254753176987,2.756418766724098,-0.02860010577158223,0.5,0,4,0.08953447287954783
84,2026,QQQ,7,11,9,14,0.06,1.4824294168456535,-0.03057470321166289,3,-0.03057470321166289,-0.0829358035916895,2.858667614878917,-0.053601959838379454,0.3333333333333333,0,3,0.16716334214052678
96,2010,SPY,3,24,11,14,0.06,0.8346822455615176,0.21184398461224463,4,0.21184398461224463,0.21458836716677454,2.3342742895954607,-0.042907372141589906,0.75,0,4,0.1313735269038964
96,2010,QQQ,9,11,12,25,0.06,0.7904748162273632,0.07955686957302643,5,0.07955686957302643,0.08053022589457148,0.760238034469913,-0.19484897205511142,0.4,3,2,0.18409719535700955
96,2011,SPY,3,24,11,14,0.06,0.9938017850437673,-0.013154500426776128,9,-0.013154500426776128,-0.013308331349674574,-0.0785880459682712,-0.07128174768361639,0.4444444444444444,0,9,0.00852378384500883
96,2011,QQQ,11,12,12,13,0.06,1.0911371354578825,-0.15092495382188664,16,-0.15092495382188664,-0.15255880827530932,-1.1448165767670513,-0.17415373204761486,0.3125,2,14,0.018855547560075014
96,2012,SPY,3,25,11,14,0.06,0.9097402832949109,-0.010549273607735277,5,-0.010549273607735277,-0.010614313412042997,0.12866704292773776,-0.06502278702107944,0.6,0,5,0.14170827619033866
96,2012,QQQ,7,12,12,14,0.06,0.9220097995163944,0.08979961745924281,7,0.08979961745924281,0.09038065694456776,0.9755888799124954,-0.035516042125561365,0.5714285714285714,0,7,0.1589142123422044
96,2013,SPY,3,25,11,14,0.06,0.9340718513098173,0.10265400173900696,6,0.10265400173900696,0.10332208432939427,1.5839773073047416,-0.04383225255805934,1.0,0,6,0.29001440765549635
96,2013,QQQ,7,12,12,14,0.06,1.0330379075818752,0.05650177987691607,12,0.05650177987691607,0.05686177154882599,0.6728341520792638,-0.049815490421860065,0.5833333333333334,0,12,0.32425326624091155
96,2014,SPY,3,25,11,14,0.06,1.032010784664176,0.03795251975909597,5,0.03795251975909597,0.0381921989230658,0.4113066302352829,-0.05035442687803837,0.8,0,5,0.14561754283015402
96,2014,QQQ,10,13,10,11,0.05,1.1569719760047883,-0.0007848484566717051,11,-0.0007848484566717051,-0.0007897112984494026,-0.18409070030187427,-0.05535591173775589,0.36363636363636365,0,11,0.20123707495275042
96,2015,SPY,7,26,11,16,0.06,1.030520972011788,-0.027733997890435957,9,-0.027733997890435957,-0.027903481908253536,-0.370852201338276,-0.07511437423996448,0.4444444444444444,0,9,0.012884830920508817
96,2015,QQQ,3,16,12,19,0.06,1.2467205439695686,-0.028497993240956365,9,-0.028497993240956365,-0.02867207689083473,-0.40232319434645614,-0.13047750269119962,0.3333333333333333,1,8,0.0976545506096015
96,2016,SPY,7,26,3,9,0.06,0.9662095600228385,0.0712679056725134,6,0.0712679056725134,0.07213649605947259,1.2598952344692156,-0.03215470413641042,0.5,0,6,0.1358576034341856
96,2016,QQQ,5,12,12,13,0.06,1.259138812218377,0.11828119903790002,9,0.11828119903790002,0.11975396131849547,1.2478028567875186,-0.047003844318902255,0.6666666666666666,0,9,0.09406165648849293
96,2017,SPY,3,11,11,16,0.06,1.1758784574431371,0.0944013467188225,6,0.0944013467188225,0.09584200757121608,1.7341761122926804,-0.04283003590209433,0.5,0,6,0.20781402698937476
96,2017,QQQ,3,16,10,25,0.06,1.210959484359054,0.22630584477508187,5,0.22630584477508187,0.22995964933505242,2.08792259684166,-0.050590288474556155,0.8,0,5,0.31487180295602923
96,2018,SPY,9,10,10,19,0.06,1.2355264222583167,-0.11042993409410651,7,-0.11042993409410651,-0.11107491601570785,-0.9710200536489586,-0.16348126384501271,0.42857142857142855,3,4,-0.05247172883209224
96,2018,QQQ,5,12,11,15,0.06,1.3907606808093946,-0.19789879152144885,10,-0.19789879152144885,-0.19899440464084905,-1.5621323074717681,-0.246087509459606,0.3,5,5,-0.01846528954211892
96,2019,SPY,12,13,3,13,0.06,0.8697522448194678,0.20886048886705844,8,0.20886048886705844,0.21028257123855898,2.0956175902445917,-0.04170990269022312,0.75,0,8,0.3108746917913159
96,2019,QQQ,4,12,8,24,0.05,1.0216388203584823,-0.022565635981642074,3,-0.022565635981642074,-0.022703905715313444,0.7941622749233548,-0.11500943070143321,0.3333333333333333,2,1,0.38405316922701427
96,2020,SPY,10,11,3,21,0.06,1.209782780003603,0.18386119713655158,5,0.18386119713655158,0.18454756920602966,1.199450884558109,-0.11727697385623237,0.8,4,1,0.17235288736209234
