year,symbol,entry_fast,entry_slow,exit_fast,exit_slow,trailing_stop,is_sharpe,oos_strat_ret,oos_trades,oos_oos_strat_ret,oos_cagr,oos_sharpe,oos_max_dd,oos_win_rate,oos_trail_exits,oos_sma_exits,oos_bh_return
2010,SPY,12,24,7,23,0.06,0.6707272721455019,0.05661468015499693,4,0.05661468015499693,0.05729993958412405,0.7706912687450328,-0.11206145691950598,0.75,0,4,0.1313735269038964
2010,QQQ,11,13,9,20,0.05,0.7727542715486467,0.15872861917126757,5,0.15872861917126757,0.16074008117011207,1.1570344678906181,-0.11707706551890829,0.4,4,1,0.18409719535700955
2011,SPY,7,24,11,14,0.06,0.802274792497833,0.006649421649810305,6,0.006649421649810305,0.0067279670710769235,0.05600864486841162,-0.04928790357957957,0.3333333333333333,0,6,0.00852378384500883
2011,QQQ,6,24,11,12,0.05,0.7591495155252198,-0.01699984750902417,5,-0.01699984750902417,-0.01719825332311864,-0.15000955811689437,-0.08313366088209806,0.4,0,5,0.018855547560075014
2012,SPY,3,25,11,14,0.06,0.6891806132790229,-0.010549273607735277,5,-0.010549273607735277,-0.010614313412042997,0.12866704292773776,-0.06502278702107944,0.6,0,5,0.14170827619033866
2012,QQQ,11,12,9,20,0.05,0.6843512748313193,0.031199743375458944,4,0.031199743375458944,0.031396134829288824,0.3655156211208944,-0.07182746316023736,0.5,1,3,0.1589142123422044
2013,SPY,3,25,11,14,0.06,0.7189082726863919,0.10265400173900696,6,0.10265400173900696,0.10332208432939427,1.5839773073047416,-0.04383225255805934,1.0,0,6,0.29001440765549635
2013,QQQ,11,12,9,20,0.05,0.5861013373268223,0.1828991777046982,5,0.1828991777046982,0.1841313663156121,2.2625953354950656,-0.04124974501964884,1.0,0,5,0.32425326624091155
2014,SPY,3,25,11,14,0.06,0.828619595128101,0.03795251975909597,5,0.03795251975909597,0.0381921989230658,0.4113066302352829,-0.05035442687803837,0.8,0,5,0.14561754283015402
2014,QQQ,11,12,10,17,0.05,0.5939578785791658,-0.004450560691457439,8,-0.004450560691457439,-0.00447808495283053,-0.13903713024607461,-0.09636361560015239,0.375,3,5,0.20123707495275042
2015,SPY,3,25,11,14,0.06,0.9626516492968626,-0.13221316055011734,11,-0.13221316055011734,-0.13297559483378585,-1.5101104161078562,-0.18158902798797671,0.2727272727272727,1,10,0.012884830920508817
2015,QQQ,3,18,12,19,0.05,0.634466132318389,-0.03561033677160019,9,-0.03561033677160019,-0.0358270600954278,-0.46019686161235546,-0.13656847572996889,0.3333333333333333,1,8,0.0976545506096015
2016,SPY,3,24,11,14,0.06,0.7641647084911136,0.07601541258028766,6,0.07601541258028766,0.076943914516995,0.818175969017857,-0.07966918396378131,0.3333333333333333,0,6,0.1358576034341856
2016,QQQ,3,14,12,19,0.06,0.7156702859859483,0.15360618020306482,6,0.15360618020306482,0.15554847494028134,1.2613490979653188,-0.061514819229617324,0.8333333333333334,0,6,0.09406165648849293
2017,SPY,4,25,11,16,0.06,0.8184475166891717,0.06144705974142606,3,0.06144705974142606,0.06237054844233647,1.5614898669921666,-0.023379618556583548,0.6666666666666666,0,3,0.20781402698937476
2017,QQQ,3,15,12,19,0.06,0.8965317796141093,0.2594609261255032,5,0.2594609261255032,0.26370506223117585,2.3991066191109813,-0.050301956848852525,1.0,0,5,0.31487180295602923
2018,SPY,4,25,11,16,0.06,0.8284876285462394,-0.128549911732582,6,-0.128549911732582,-0.1292928302819355,-1.5999456565125327,-0.1506318835376721,0.3333333333333333,2,4,-0.05247172883209224
2018,QQQ,3,16,12,19,0.06,0.9710025768825608,-0.1327783884787508,7,-0.1327783884787508,-0.13354382540872378,-1.0930053151878392,-0.19322643613781165,0.42857142857142855,4,3,-0.01846528954211892
2019,SPY,8,26,12,16,0.06,0.7607757455617661,0.0904922058533828,3,0.0904922058533828,0.09107791116544717,2.5253199377398796,-0.041196219366009035,0.6666666666666666,0,3,0.3108746917913159
2019,QQQ,7,13,10,24,0.05,0.8919716967055197,0.0974705923990613,3,0.0974705923990613,0.09810346254646429,1.5858901956076144,-0.11873021153821883,0.3333333333333333,2,1,0.38405316922701427
2020,SPY,8,26,12,16,0.06,0.8360718341303087,0.04958788533610714,5,0.04958788533610714,0.04976234190540785,0.3846636708865616,-0.13157113710998936,0.6,3,2,0.17235288736209234
2020,QQQ,5,12,10,25,0.05,0.9719165675313886,0.042700972342014865,4,0.042700972342014865,0.04285070820351344,0.8801181015901315,-0.12925641372630303,0.25,4,0,0.4596881111607568
2021,SPY,8,13,3,21,0.06,0.8699842918731914,0.09336454424004237,8,0.09336454424004237,0.0945141005423944,0.91238365151387,-0.04179996138114206,0.75,0,8,0.30505466635116707
2021,QQQ,8,13,12,26,0.05,1.1476989504869286,0.13643558197101613,4,0.13643558197101613,0.13814801197790594,1.0679131957488968,-0.09424772777438795,0.75,2,2,0.2924465763241905
2022,SPY,9,26,12,16,0.06,0.9115943980536552,0.027076569068440248,4,0.027076569068440248,0.02739966549666173,0.21782037788782077,-0.10452679085095573,0.5,2,2,-0.18646407230964557
2022,QQQ,5,12,11,15,0.06,1.2208429221429744,-0.0548190518863676,8,-0.0548190518863676,-0.055446198511371225,-0.28858976708588696,-0.16614909960880253,0.5,5,3,-0.33219889549311576
2023,SPY,10,11,7,25,0.06,1.0435587323919977,0.0978173107762228,6,0.0978173107762228,0.09931242899796522,1.6237301186707511,-0.11035051190032241,0.5,0,6,0.26709219554611585
2023,QQQ,3,16,10,24,0.06,1.1531260450897711,0.14342238382194505,5,0.14342238382194505,0.14565943837846818,1.5452027182805612,-0.15272923815021056,0.6,2,3,0.5590953945240507
2024,SPY,12,13,3,21,0.06,1.1099839672191438,0.1243621179094796,5,0.1243621179094796,0.1248147951447387,1.3007977293082396,-0.06644027331441527,0.6,0,5,0.2558930569325586
2024,QQQ,11,13,10,24,0.05,1.1724624834114739,0.03229746128047495,3,0.03229746128047495,0.03241015114716905,0.6689352262808511,-0.12554781880569055,0.6666666666666666,2,1,0.27739912351043966
2025,SPY,10,11,7,25,0.06,1.0598632846223484,0.13264670323768746,4,0.13264670323768746,0.1335214987325195,1.5042952335972393,-0.11135735847700823,0.25,1,3,0.18009014616634136
2025,QQQ,8,11,10,24,0.05,1.1579296044392962,0.20229092742107047,5,0.20229092742107047,0.2036646248159526,1.2963552747015499,-0.15323409080676587,0.4,3,2,0.2100925351496274
2026,SPY,8,10,8,17,0.03,1.1920671020750375,0.001199234967024676,4,0.001199234967024676,0.003347254753176987,2.756418766724098,-0.02860010577158223,0.5,0,4,0.08953447287954783
2026,QQQ,8,12,8,24,0.05,1.194263616025015,-0.011022430069490219,3,-0.011022430069490219,-0.030430396707047502,3.3356837850500964,-0.04608644995202493,0.6666666666666666,0,3,0.16716334214052678
